CO2 (ppm),Temperature (°C),Relative humidity (%RH),CH4 (ppm),Timestamp,Chamber (N)
531,21.54,61.56,0,2026/8/24 12:46,Batch 1 · Blank (0)
534,21.46,61.13,0,2026/8/24 12:47,Batch 1 · Blank (0)
533,21.4,61.43,0,2026/8/24 12:48,Batch 1 · Blank (0)
533,21.43,61,0,2026/8/24 12:49,Batch 1 · Blank (0)
533,21.29,60.38,0,2026/8/24 12:50,Batch 1 · Blank (0)
534,21.22,60.86,0,2026/8/24 12:51,Batch 1 · Blank (0)
534,21.14,60.62,0,2026/8/24 12:52,Batch 1 · Blank (0)
533,21.08,60.72,0,2026/8/24 12:53,Batch 1 · Blank (0)
528,21.03,60.43,0,2026/8/24 12:54,Batch 1 · Blank (0)
523,20.95,61.27,0,2026/8/24 12:55,Batch 1 · Blank (0)
518,20.97,61.05,0,2026/8/24 12:56,Batch 1 · Blank (0)
514,20.98,60.86,0,2026/8/24 12:57,Batch 1 · Blank (0)
512,21.01,60.45,0,2026/8/24 12:58,Batch 1 · Blank (0)
511,20.93,60.74,0,2026/8/24 12:59,Batch 1 · Blank (0)
509,20.94,60.93,0,2026/8/24 13:00,Batch 1 · Blank (0)
503,20.84,59.71,0,2026/8/24 13:01,Batch 1 · Blank (0)
499,20.8,59.42,0,2026/8/24 13:02,Batch 1 · Blank (0)
494,20.69,59.51,0,2026/8/24 13:03,Batch 1 · Blank (0)
492,20.73,59.72,0,2026/8/24 13:04,Batch 1 · Blank (0)
488,20.79,60.03,0,2026/8/24 13:05,Batch 1 · Blank (0)
485,20.76,61.7,0,2026/8/24 13:06,Batch 1 · Blank (0)
483,20.76,62.82,0,2026/8/24 13:07,Batch 1 · Blank (0)
480,20.72,63.58,0,2026/8/24 13:08,Batch 1 · Blank (0)
477,20.84,63.89,0,2026/8/24 13:09,Batch 1 · Blank (0)
473,21.05,64.15,0,2026/8/24 13:10,Batch 1 · Blank (0)
468,21.24,65.16,0,2026/8/24 13:11,Batch 1 · Blank (0)
467,21.38,65.11,0,2026/8/24 13:12,Batch 1 · Blank (0)
462,21.56,65.39,0,2026/8/24 13:13,Batch 1 · Blank (0)
460,21.61,64.77,0,2026/8/24 13:14,Batch 1 · Blank (0)
463,21.54,65.44,0,2026/8/24 13:15,Batch 1 · Blank (0)
461,21.53,65.44,0,2026/8/24 13:16,Batch 1 · Blank (0)
459,21.56,66.01,0,2026/8/24 13:17,Batch 1 · Blank (0)
455,21.64,65.84,0,2026/8/24 13:18,Batch 1 · Blank (0)
453,21.6,65.01,0,2026/8/24 13:19,Batch 1 · Blank (0)
454,21.47,65.12,0,2026/8/24 13:20,Batch 1 · Blank (0)
454,21.4,65.62,0,2026/8/24 13:21,Batch 1 · Blank (0)
450,21.4,65.02,0,2026/8/24 13:22,Batch 1 · Blank (0)
447,21.38,63.79,0,2026/8/24 13:23,Batch 1 · Blank (0)
448,21.24,64.47,0,2026/8/24 13:24,Batch 1 · Blank (0)
446,21.22,63.57,0,2026/8/24 13:25,Batch 1 · Blank (0)
444,21.15,63.81,0,2026/8/24 13:26,Batch 1 · Blank (0)
442,21.18,63.43,0,2026/8/24 13:27,Batch 1 · Blank (0)
441,21.29,63.22,0,2026/8/24 13:28,Batch 1 · Blank (0)
442,21.12,62.33,0,2026/8/24 13:29,Batch 1 · Blank (0)
441,21.03,63.2,0,2026/8/24 13:30,Batch 1 · Blank (0)
435,21.15,62.99,0,2026/8/24 13:31,Batch 1 · Blank (0)
432,21.28,62.96,0,2026/8/24 13:32,Batch 1 · Blank (0)
428,21.35,62.64,0,2026/8/24 13:33,Batch 1 · Blank (0)
426,21.43,62.65,0,2026/8/24 13:34,Batch 1 · Blank (0)
426,21.46,62.43,0,2026/8/24 13:35,Batch 1 · Blank (0)
425,21.43,62.54,0,2026/8/24 13:36,Batch 1 · Blank (0)
425,21.26,62.8,0,2026/8/24 13:37,Batch 1 · Blank (0)
425,21.21,62.35,0,2026/8/24 13:38,Batch 1 · Blank (0)
423,21.25,62.48,0,2026/8/24 13:39,Batch 1 · Blank (0)
422,21.25,62.15,0,2026/8/24 13:40,Batch 1 · Blank (0)
423,21.09,62.06,0,2026/8/24 13:41,Batch 1 · Blank (0)
423,21.03,62.47,0,2026/8/24 13:42,Batch 1 · Blank (0)
419,21.04,61.95,0,2026/8/24 13:43,Batch 1 · Blank (0)
417,21,62.78,0,2026/8/24 13:44,Batch 1 · Blank (0)
414,21.01,62.55,0,2026/8/24 13:45,Batch 1 · Blank (0)
415,21.04,62.33,0,2026/8/24 13:46,Batch 1 · Blank (0)
414,20.97,62.94,0,2026/8/24 13:47,Batch 1 · Blank (0)
414,20.97,62.86,0,2026/8/24 13:48,Batch 1 · Blank (0)
409,21.04,63.25,0,2026/8/24 13:49,Batch 1 · Blank (0)
