batch,sheet,N,is_blank,records,duration_h,start,end,missing_pct
Batch 1,Blank (0),0,True,1420,24.0,08-24 12:46,08-25 12:46,1.46
Batch 1,310,310,False,1420,24.0,08-24 12:46,08-25 12:46,1.46
Batch 2,Blank (0),0,True,1420,24.0,08-28 15:18,08-29 15:18,1.46
Batch 2,105,105,False,1420,24.0,08-28 15:18,08-29 15:18,1.46
Batch 2,207,207,False,1420,24.0,08-28 15:18,08-29 15:18,1.46
Batch 2,324,324,False,1420,24.0,08-28 15:18,08-29 15:18,1.46
Batch 2,412,412,False,1420,24.0,08-28 15:18,08-29 15:18,1.46
Batch 2,500,500,False,1420,24.0,08-28 15:18,08-29 15:18,1.46
Batch 3,Blank (0),0,True,1422,24.0,09-04 12:22,09-05 12:22,1.32
Batch 3,343,343,False,1422,24.0,09-04 12:22,09-05 12:22,1.32
Batch 3,461,461,False,1422,24.0,09-04 12:22,09-05 12:22,1.32
