batch,sheet,N,is_blank,temp_min,temp_max,hum_min,hum_max,hum_mean,hum_sat,ch4_median,ch4_max
Batch 1,310,310,False,24.105,30.18,79.685,90.92500000000001,89.60027586206897,0.993103448275862,29.5,104.0
Batch 2,105,105,False,25.93,32.02,84.515,94.495,92.3308620689655,0.993103448275862,0.0,0.0
Batch 2,207,207,False,26.15,30.65,80.405,91.2,89.70937931034483,0.993103448275862,0.0,12.0
Batch 2,324,324,False,26.195,31.36,79.215,90.9,90.01610344827586,0.993103448275862,52.5,106.0
Batch 2,412,412,False,25.835,31.55,81.38,89.97,88.60531034482759,0.993103448275862,190.0,310.0
Batch 2,500,500,False,25.869999999999997,32.05,80.69,90.7,89.3183103448276,0.993103448275862,129.0,238.0
Batch 3,343,343,False,26.015,28.78,77.61,88.37,87.35779310344829,0.9793103448275862,52.0,150.0
Batch 3,461,461,False,26.185000000000002,28.91,79.74,88.7,88.24720689655173,0.9862068965517241,57.5,218.0
Batch 1,Blank (0),0,True,20.275,28.715,53.065,70.285,66.28555172413792,0.0,0.0,0.0
Batch 2,Blank (0),0,True,25.265,30.4,49.64,69.57,62.15010344827586,0.0,0.0,0.0
Batch 3,Blank (0),0,True,25.145000000000003,27.57,56.295,64.35499999999999,60.208655172413785,0.0,0.0,0.0
